,Club Desctiption
114,"Founded in 2008, Global China Connection (GCC) is the world’s largest student organization dedicated to connect future leaders from all nations and assist them in developing the skills and building positive relationships necessary to succeed internationally. The GCC Waterloo Chapter, established in 2012, is another successful chapter under GCC Canada. With a mission to foster deep and trusting relationships among Chinese and non-Chinese university students, we hope to expand the GCC network to the University of Waterloo through organizing and hosting discussion round-tables, networking events, business case competitions throughout the year. We welcome members from all cultural backgrounds as we aim for diversity within the club.       "
115,Greek Council  is a club to promote Greek life at the University of Waterloo. It is a community in which we strive to improve our school and community through hosting philanthropic events and supporting school events. There are also strong bonds and lifelong friendships formed within individual chapters and the Greek community in general. Come out to a Greek Council meeting and see what it's all about!
116,"The University of Waterloo Habitat for Humanity Campus Chapter is a group of students who are passionate about helping families build better lives for themselves and are ready to take the next step to lead the charge in making our community a better place. Our members fulfill Habitat's four main functions by volunteering in our community, educating the university around issues related to housing, fundraising in the area to support more housing opportunities, and speaking with community officials to prioritize shelter. Our vision is to design, fundraise and build a University of Waterloo Habitat Home for a family in our community. Come out and find out how you can help, everyone is welcome!"
117,"Are you interested in programming and wondering what is the hackathon?
	Are you good at coding and designing, and planning to win prizes in the next hackathon?
	Are you looking for a teammate or hoping to learn more from an experienced hacker?
	Are you hoping to create your own projects within a team?
	Or you have a lot of excellent ideas in making this society a better place but you just don't know how to realize it?"
118,"You're the type of person who has a passion for hackathons!!!
	If this sounds like you:
	Join us!"
119,Heart 4 Heart hosts fundraising events in the hopes of raising money and awareness for the Heart 4 Heart Charity. This charity is a student-run nonprofit organization driven by a mission to provide life-saving surgeries for children in various developing countries born with congenital heart defects. Please send us an email if you are interested in being a part of Heart 4 Heart!
120,"We gather University of Waterloo Hearthstone players to play, compete and have fun with Hearthstone. We plan to hold meetings, contests, Cosplay shows, Jeopardy and other social events."
121,"Henna Club is a open to all club that hold weekly workshops to teach, improve and educate people about henna! Along with workshops we host events on campus and off campus. Check out our Facebook page for more info on when our workshops are!"
122,"Hillel Waterloo is the centre for Jewish campus life in Waterloo. Serving the University of Waterloo, Wilfrid Laurier University, and Conestoga College, we strive to bring Jewish students together through social, religious, and educational programs. Hillel is a student-run organization led by a committed student executive, and supported by a full-time staff director. Hillel serves as a resource for Jewish students in Waterloo, offering connections to local synagogues, liaisons to university administration, and information on Jewish traditions and rituals. Hillel events are open to everyone, regardless of religious affiliation. We aim to provide an inclusive, warm, and welcoming environment at our events, and we encourage anyone interested in Judaism or Jewish culture to come out and join us!"
123,"The purpose of The University of Waterloo Hip Hop Club is to provide a fun, social environment where students can learn hip hop dance. Members of the club have the opportunity to grow as dancers by being exposed to different styles of hip hop dance, while meeting others who are passionate about dance. Practices help members to develop balance, coordination, strength and confidence."
124,UWHH is open to anyone and everyone willing to learn. Students of any experience level are welcome! Members range from inexperienced dancers to dancers at the advanced level.
125,No audition is required to be a part of the club. Any member may perform with UWHH at events and competitions throughout the term as long as they can commit to attending the practices.
126,UWHKSA is a club for those who are interested in Hong Kong culture. Our goal is to strengthen the Hong Kong community within the University of Waterloo and to promote Hong Kong culture and Cantonese.
127,"• HOSA is an opportunity for undergraduate students to explore different health professions along with gaining personal experience and knowledge to be used in future health settings or even in day-to-day activities such as networking, and leadership.
	• HOSA U is an organization of which branches out to several different universities (Western U, McMaster U, UofT, U of Guelph etc.) and the different branches meet annually at the SLC- Student Leadership Conference (March) to compete in a wide range of health science related topics such as EMT, Dental Science, pathophysiology, medical math, pharmacology, HOSA Bowl, Vet science, sports med, biomed lab science, medical terminology, and medical law & ethics. Members can choose which sub topic they’d like to be in and train for that specific event. The university that wins would then compete internationally against other schools in the USA and be eligible for various prizes such as scholarships, or internships.
	 "
128,Humans vs. Zombies is a game of tag between two teams where Humans have to defend themselves with Nerf blasters and socks and survive as long as they can against a growing Zombie horde out to tag them. Humans vs. Zombies Society runs a weeklong game per term as well as weekend minigames and an annual open invitational game.
129,"We are a collective of students passionate about streetwear culture, drawing from hip-hop, skate and urban influences to express our love for street fashion and art. Our members are encouraged to come out and express what aspect of streetwear culture is special to them. From meet-up photoshoots to DIY workshops to charity drives, we make sure to show that the streetwear culture here at UW is fresh and unique to each person, while also giving back to the community. We also encourage members to buy, sell and trade within the club, whether students want to trade sneakers for the latest kicks to add to their collection, or wanting to sell a rare tee shirt they found at the thrift store, we provide a safe space for students to come out and make these connections."
130,"UW Improv meets every week for games, exercises, sports and warfare from the world of *improvisational drama*, made famous by Whose Line is it Anyway. Our objectives are fun, enjoyment and belly laughs-- no experience necessary, drop-ins welcome!"
131,"Also available is a Performance Team, which is compiled at the beginning of every semester-- auditions take place during the first few weeks of a new semester."
132,"We're a group of students interested in bringing the culture of India to our campus through fun events and socials. We reach out to incoming students through many different networking opportunities, workshops and mentorship packages. We're always looking for new and better ways to celebrate the festivals, holidays, games and spirit of India and we would love to hear from you! Join our team or message us at any of the outlets listed below."
133,UW Indian Cultural Association is a club that aims to promote Indian culture to the staff and students at the University of Waterloo by organizing various cultural events and dance performances. This club aims to provide a comfortable space where students and staff of Indian origin and/or students interested in Indian culture can come together and enjoy each others company.
134,"The main purpose of the club is to gather all students in University of Waterloo and community at large that are interested with Indonesian culture and language. We promote Indonesian culture and language through social gatherings, cultural sessions and fund raising activities. Lastly, we want to be a medium for members to meet fellow Indonesians or others who are interested in Indonesia."
135,"International Justice Mission is a faith-based human rights organization which strives to secure justice for victims of slavery, sexual exploitation, and other forms of violent oppression. IJM currently has lawyers, investigators, and aftercare professionals in 13 countries that work with local officials to ensure the rescue and aftercare of victims, the prosecution of perpetrators, the protection of communities, and the efficiency of public justice systems. The IJM UW Chapter raises awareness on these issues and provides support through prayer, informative events, and fundraising in support of IJM’s work overseas."
136,The mission of Iranian Student Association of Waterloo (ISAW) is to unite the Iranian students of UW and other universities through cultural events and gatherings. ISAW provides a non-political environment where members support one other and share ideas to improve the society to its full potential. ISAW respects people from all nationalities and welcomes them to visit any of ISAW’s events to become familiar with a culture that has held them together for thousands of years.
137,"The Islamic Information Center of the University Waterloo (IICUW), is a registered Federation of Students club that promotes the intercultural diversity amongst society in Canada by enhancing interfaith tolerance and relationship through the improved perception of Islam. The IICUW strives to provide the local community with accurate and unbiased information regarding the principles of Islam. In order to achieve this noble aim, the IICUW facilitates the awareness of Islam by providing the following services:"
138,Free copy of the Holy Quran (English Translation) Free Islamic Information Booths (in SLC) Free Books/DVDs on Islam Free Discover Islam Workshops Free Movie Nights (Documentaries/Lectures) Free Visit to Local Mosque Any information you need about Islam.
139,"We are of the conviction that the legacy and spirituality of Karol Wojtyla (Pope John Paul II) represents a strong moral and spiritual compass to guide and enhance the life goals of similarly minded young adults.  The late pope’s unprecedented special relationship to young people in virtually every country of the world has inspired devotion in millions who, in turn, continue to instruct the next generation in his teachings.  He is recognized as an agent of convicted and compassionate political transformation, and his teaching is a beacon of hope for forming loving, life-giving societies that celebrate what is truly good in all the world’s cultures.  His three visits to Canada have left long-lasting impressions upon hundreds of thousands of Canadian young people, and the events and speeches from those visits continue to inspire.  We are of the opinion that the body of literature and teaching that emanate from this great saint warrant special intention, and that his admire!"
140, rs merely need a structure in which to join others of like mind.
141,"We are of the conviction that the legacy and spirituality of Karol Wojtyla (Pope John Paul II) represents a strong moral and spiritual compass to guide and enhance the life goals of similarly minded young adults.  The late pope’s unprecedented special relationship to young people in virtually every country of the world has inspired devotion in millions who, in turn, continue to instruct the next generation in his teachings.  He is recognized as an agent of convicted and compassionate political transformation, and his teaching is a beacon of hope for forming loving, life-giving societies that celebrate what is truly good in all the world’s cultures.  His three visits to Canada have left long-lasting impressions upon hundreds of thousands of Canadian young people, and the events and speeches from those visits continue to inspire.  We are of the opinion that the body of literature and teaching that emanate from this great saint warrant special intention, and that his admire!"
142,"Konja is an official Feds Club at the University of Waterloo, and its primary objective is to create and foster a community where Japanese and English speaking students can exchange languages and cultures. We also continuously strive to increase awareness and appreciation of Japanese culture."
143,We are a community of students passionate about knowing God and participating in his work on campus and in the world. Together we pursue transformation through Scripture to lead and equip others to join in Jesus' extraordinary revolution.
144,"The Korean Students Association encourages a sense of community in touch with the student body, academia and the general Korean network.  We try to foster the distinct cultural awareness and promote the Korean legacy laden with tradition, pride, commerce, vision and harmony. We aim to promote values which are common to the Korean community."
145,"As a student-run radio club, KW Channel One has accompanied UW Chinese students for over 30 years by dynamic radio shows. Striving for excellence, we always look for innovative individuals to participate in our broadcast. Live Broadcast on KW Channel One is on every Sunday from 2pm to 4pm. Previous shows are available on our website and fan page. Enjoy the show."
146,"UW Legend of the Three Kingdoms Club is a club that holds weekly events to play the board game called the Legend of the Three Kindoms. This is a Chinese boardgame about a famous age of the Chinese history, that people can play different roles with their winning requirements and different character to use their unique effects. We have both Chinese and English version of the boardgame and we welcome all new players to join us!!!"
147,Low Vision Interest Group is an Optometry student group that provides educational and experiential learning opportunities aimed at increasing awareness of low vision practices and rehabilitation.
148,"The objective of Mambo is to teach international salsa dancing to the UW community. We provide weekly lessons and practice sessions in a friendly, social, and relaxed environment where dance enthusiasts of all levels can participate. Check out www.mamboclub.ca for more details."
149,"The UW Management Consulting Club seeks to attract students and help them acquire the basic skills needed to succeed in pursuing opportunities in the consulting industry. Our club holds events that not only facilitate the networking process between UW students and recruiters at top consulting firms, but also prepare students to be successful in their interviews."
150,"We worship God and do bible study in order to learn the word of God through speaker nights, praise and worship nights, movies, and Bible studies.
	 "
151,"The MCA student chapter connects University of Waterloo students with the Canadian Mechanical Contracting Industry by hosting networking events, site tours, technical workshops and organizing guest speakers on campus."
152,The student chapter is also invited in numerous student summits and conferences within Canada and the US which further help students connect and learn from the industry.
153,"Students can learn how to do so and thus, better learn to manage their emotions and mental health. This will develop self-awareness and provide a way to reduce stress for students. We will have weekly or bi-weekly meditation workshops with guided meditations and Q & As to clear any doubts students might have about meditation.
	 "
154,"The purpose of the club is to gather UW students to discuss and learn about metal music and its many different genres; introduce each other to new groups and learn about its history. We plan to hold meetings and social outings.
	 "
155,"We discuss the political, social, and economic state of the world via student driven and focused debate. Using this debate, we endeavour to also expand the individual awareness of the world at large, and discover possible solutions to the issues plaguing the world and the people within. The University of Waterloo Model United Nations has at its core the goal of making its members into more aware and capable global citizens, through open debate and engagement on the issues of the world through the club's events and initiatives.
	 "
156,"MoMoSa stands for Motivation, Originality, Miracle, Organize Student Association. We believe that students have unlimited intelligence but just need a chance and place to explore them. Futures are created by hands and hands are controlled by you."
157,"The Muslim Students' Association (MSA) at the University of Waterloo seeks to create a community that is open and dynamic, which caters to the best interests of all Muslims on campus. Our main goals are to provide an Islamic environment for the Muslims at UW, and to raise awareness of Islam among non-Muslims. We achieve these goals by providing services and support for Muslims on campus, and by organizing lectures, conferences, and Islam Awareness Weeks each term for the general UW population."
158,"Want to save money and get your nails painted? Get your nails done as many times as you want with the UW Nail Salon Club! We paint nails at every general meeting, every week. We host discussions about nail art designs and budgets and host tutorials where members learn about nail art, styles, and techniques. "
159,We welcome anyone who are interested in nail art and even those who are just looking forward to get their nails done.
160,Come to play League of Legends with other UW students! 
161,"Origami For Children is a student run club with the desire to send origami gift packages to children in hospitals such as the SickKids and Grand River Hospitals. Based on the story of the thousand cranes providing one wish, it is our mission to cheer children in hospitals by providing them origami gift packages to create paper origami. "
162,"To gather University of Waterloo students, staff, faculty, and members of the UW community at large to foster the rich heritage, faith and tradition of the Oriental Orthodox Church; also to serve and empower the students: everyone as a whole, the Orthodox Christian students in general, and the Coptic students specifically. Club events, activities, and/or initiatives will include social nights and guest speakers, praise nights, theological and bible study and campus outreach to spread the Good News to everyone."
163,"Other information: 
	Orthodox Christian student body: events include social nights, guest speakers, praise nights, theological discussion and bible study and campus outreach to spread the Good News to everyone. Everyone is welcome!"
164,"The purpose of the club is to provide an environment for members to discuss and play the rhythm game osu!. Tri-weekly meet-ups give members a place to play osu! in a multiplayer LAN setting or simply hang out, watch, and relax. Termly tournaments and contests give players and mappers of all types an opportunity to fuel their competitive spirit and test their abilities. We are a very welcoming community that encourages anybody interested in the game, regardless of skill level, to come check us out."
165,"The UW PPAG is a student-run organization, which promotes interest and awareness of the profession of paediatric pharmacy. The group will advocate for the health of children and advance current knowledge of important pediatric disease states."
166,Pakathon Waterloo is the Waterloo chapter of the global organization Pakathon.
167,Pakathon Waterloo aims to promote and educate people here in Waterloo about social entrepreneurship and educate them to think in a global context to solve social problems.
168,The Pakistani Student Association at the University of Waterloo is an organization that coordinates educational and social activities which promote Pakistani culture to the Waterloo community.
169,"We are a student led group of outdoor enthusiasts in affiliation with Parks Canada and a part of their National Campus Clubs Network that connects our club with other universities in Canada. You don't have worry about your budget as Canada Parks helps subsidizes all our events. We host amazing adventures to national and provincial parks each term as well as take part in local stewardship activities. Furthermore, we host local field trips to conversations and historical sites, go on local hikes in the KW and surrounding region, have epic bonfires and awesome guest speakers."
170,"Welcome to UW Party Games Club, where we'll run bimonthly events to play Codenames, Two Rooms and a Boom, Secret Hitler, Jenga, Coup, Exploding Kittens, Jackbox Party Pack... Basically any sub-3 hour, 4+ player game that you want to play! Join us any time -- your first event is free! -- or make a post on our Facebook group to find people to play them with. Connect with us on Facebook to see when we’ll be hosting our events, or send us an email with any questions."
171,"UW Pet Lovers Club would like to help you to learn about pets (such as dogs and cats), including their common health issues, common behavioural issues, and training techniques. We will hold club events, such as educational seminars, Q & A sessions and social outings for those who plan to have a pet, already have a pet, or just would simply like to know more about pets!"
172,"The UW Photography Club aims to promote and foster interest in the photographic medium — including, but not limited to, its artistic, photojournalistic, and technical aspects."
173,"The club generally meets on a weekly basis for workshops, photo trips, or contests."
174,"Sign up for our mailing list for updates,or join us on our Facebook group for discussion and Facebook page for announcements."
175,"The UW Poker Studies Club (UWPSC) provides a friendly and social environment for those interested in playing No limit Texas Hold’em. All skill levels are welcome, as well as those who are interested in learning the game. We host friendly tournaments twice a week, where over the course of a few hours players vie for prizes. Players who do consistently well can event attend the invite only, end of term tournament, where they compete for a real poker bracelet as well as other valuable prizes. For more information, check out our Facebook page, or email us. "
176,The Polish Society of UW is a club that organizes events on campus to introduce and expose Polish culture to the University of Waterloo and surrounding areas.
177,"We are a community of dancers who are passionate about the heart of dance and hip hop culture. Whether you are interested in fundamentals, popping, hip-hop, locking or breaking, come jam with us and enhance your skills and diversity. We focus a lot on freestyle dance and play a variety of beats during our sessions, allowing anyone to express themselves freely, while still be able ask questions or gain greater insight on a certain groove or dance move. Our sessions will mainly focus on popping which is the technique of quickly contracting and relaxing muscles to create an intricate body movement. Popping also involves influences of hip hop, which will be practiced with grooves and rhythm. You do not need a background in dance to come, we are happy to session with you and teach you the skills that we have learned. Our club will differ from other HIP HOP clubs on campus through mainly focusing on freestyle dance sessions and not as heavily choreography based. If you want to expand your dance knowledge and be more free, come dance with us."
178,Power to Change is a Christian club who exists to serve the spiritual needs of students on campus.   Anyone and everyone is welcome to our club--whether you are a Christian or not.   We would love to hear your life story.
179,"The core of our ministry consists of engaging events, discussion groups, prayer meetings, bible studies, weekly meetings, conferences, and spring/summer mission’s trips."
180,The University of Waterloo Pre-Dental Club provides support for students who are interested in pursuing a career in the field of dentistry.
181,"This includes information regarding admission requirements for dental schools across Canada, the application procedure, DAT strategies and general discussions about dentistry and alternatives. In addition, special events such as guest speakers, social events, and community impacts are scheduled throughout the term."
182,"Our aim is to help students succeed in their pursuit of a career in medicine. Specifically, we will run medical school information sessions, mock MCATs and interviews, provide resources and volunteer opportunities in various medically oriented settings."
183,"The UW Pre-Optometry Club is open to all undergraduate members of the University of Waterloo who are interested in exploring a career in Optometry. Whether you are already planning to become an Optometrist, want to explore the possibility of a career in Optometry, or simply want to find out what Optometry is all about, this club is for you! The purpose of our club is to provide students with an opportunity to learn more about the profession of Optometry and to assist students in their preparation for Optometry School. We aim to help students find valuable pre-professional experiences, to help students network with each other and with professionals in the community, and to provide a more enjoyable educational experience."
184,"The UW Pre-Pharmacy Club was created for students by students to act as a resource for those who have a passion for the pharmacy profession. Throughout the years the UW Pre-Pharmacy Club has become much more than just a resource to students. We are a dynamic club that creates an environment where it’s possible to interact and meet students with the same career goals as you. Even if you are merely considering pharmacy as a possible career we provide fun and interactive events that allow you to imagine what being a pharmacist is like. Our annual Pharmacy Olympics in the winter term, for example, make you scramble to count candy as fast as you can, basically stimulating a busy pharmacy after a holiday. We also provide talks with guest speakers (pharmacy students and pharmacists), information sessions, tours and much more!"
185,The Pre-Rehabilitation Science club aims to:
186,"The Pre-Rehabilitation Science club plans to hold educational seminars/workshops, networking events, and a mentorship program!"
187,"The UW Pre-Vet Club is open for anyone who loves animals. Academically, we aim to help students who are interested in animal-related studies. We connect students with volunteer opportunities and host guest speakers in relation to veterinary studies. Socially, we hold fundraisers for local organizations that support animals in need as well as connecting like-minded students with each other. All animal lovers are encouraged and welcomed to join!"
188,The vision of Product Vision club is to foster product leadership and perspective among engineering­-focused students regardless of the career path and help students break into product management.
189,"Project: Trashion is an upcoming exhibition led by students to approach and present sustainability issues in the fashion industry, in addition to the general waste we produce, through art, media and design. The exhibition is comprised of two segments, a fashion exhibition and a tradeshow. The fashion exhibition to showcase works of art that are made with the help of passionate and creative students. The tradeshow segment allows the engagement between leading advocators for sustainability in their respective rights industry to bring the public closer to their local activists and provide them with education, information and options on how an individual can contribute themselves to make a global impact with one small action at a time. 
	We strive to create a global impact by educating, engaging and creating a culture of sustainability, starting with our community. Our greatest challenges not only lies in creating a zero-waste, energy efficient and sustainable event, but to create a collaborative cooperation between established advocators to cultivate a sustainable culture in the community. 
	 "
190,"The purpose of this club is to offer to its members, as well as the UW community, opportunities to participate in intra-university and inter-university scholastic competition both in formal and informal settings. The UW Quiz Bowl Club is a group of trivia fanatics who meet every week (often in the Bombshelter) to play Trivial Pursuit and other trivia games. We also run other events such as trivia tournaments, including our signature intramural tournament, ""Watbowl,"" and the popular Feds vs. Turnkeys showdown. Check out our website, for information about our weekly trivia games and upcoming events."
191,"Rare Disease Review is a student-run medical, health policy, and bioethics journal focused on providing detailed discourse on rare diseases and their societal effects that anyone can understand. Since its founding in 2015, Rare Disease Review has been committed to communicating science to the general public, and to discussing the relationship between science and society. Rare Disease Review was formed in an attempt to bridge the divide between the dense, complex research done by the scientists around the world and the superficial information provided by rare disease websites. In short, it's hard to find solid information about rare diseases that provides a satisfactory level of depth and detail that's written in simple and easy to understand English."
192,"reboot is a one of a kind, inclusive and transdisciplinary club that aims to unite students from all faculties and programs. It is the only Feds club that allows students from different faculties to create things together. Each term, members apply their interests and skills to create unique projects in a collaborative setting. The projects are entirely based on the members’ interests, and will change each term. The club provides its members with the opportunity to learn new skills, and share the knowledge they already have, with students across UW.  We believe that the most creative ideas are fostered by collaboration. So what are you waiting for? Whether you are from Engineering, Health Sciences, Arts, Environment, Math or Science….join reboot to share what you know, learn new skills, make connections, and bring your craziest ideas to life! Join the movement."
193,"We are a Rotary-sponsored service club engaging University of Waterloo Students and Community Members in the Kitchener-Waterloo Region that hopes to help its members to become leaders in the community. By joining Rotaract, you can look forward to local and international service opportunities, career building activities, social gatherings, and a chance to meet and network with Rotarians in the community. Not only will you be joining our club, you will be joining a larger community of more than 9,000 Rotaract clubs and 1.2 million Rotarians around the world! We look forward to meeting you. To find out more, please visit our webpage or our Rotaract Club Facebook page."
194,"This club's goal is to promote the awesomeness and furthered learning of all things associated with, and including, the Rubik's Cube (including the Rubik's Snake, Rubik's Magic, Rubik's 360, Rubik's Clock and the Megaminx, just to name a few)."
195,Sahaja Yoga Meditation (SYM) Club helps the members of Waterloo community to learn meditation and relaxation techniques. These techniques help with stress relief and balanced living. The club organizes weekly meditation sessions and provides information on various aspects of meditation. The members get to experience meditation at these sessions and also learn how to meditate at home.
196,"The SYM club is open to everyone. Additional benefits of meditation include improved concentration, improved health and emotional balance. The sessions are free of cost and this meditation technique is practised in over 100 countries. Come join us for one of the sessions to try it out!"
197,Seeds of Waterloo (SOW) is a Christian club dedicated to growing as disciples of Jesus. Our goal is to know the love of God and show that love to each other and others on campus.
198,"Our weekly meetings are a time of fellowship, Bible study, encouragement, discussion, worship, prayer, and fun! Anyone and everyone is free to come out and get connected, regardless of your beliefs."
199,"The purpose of the UW Shopping club is to gather University of Waterloo students to get to know each other, discuss the ability to control budget, explore the different malls in both local and nearby cities by having club shopping trips, become socially active and have fun shopping together. We plan to hold meetings, lectures, social outings, and to plan shopping trips to local and nearby city malls. Come join us!"
200,"The University of Waterloo Sikh Students Association (SSA) attempts to provide an environment on campus, and beyond, that helps to promote the Sikh religion by practicing its beliefs and traditions. The above is achieved through various discussion groups, weekly path sessions, kirtans, guest speakers, Q/A periods and a variety of religious/language classes provided by fellow students. As well, UW SSA attempts to participate in a wide range of multi-cultural activities both on campus, and within the Sikh community (such as trips to the Gurdwara, Vaisakhi, etc)."
201,"In addition, our club organizes a number of intramural co-ed sports teams (Basketball and Volleyball, usually) and social functions (pool tournaments, bowling, etc.) and outings (dinners, horseback riding, skiing trips) that form the bulk of our time commitments."
202,"We hope to create a 'family' atmosphere by developing an hierarchy-less club that is devoted to providing an avenue for interaction amongst Sikh students at our University. UW SSA also provides educational help (study groups, old texts, exams, etc.) and holds one of the most successful on-campus events, 'Dastaar day', previously known as 'Turban Day' once a semester. This is an awareness day to teach the University community about the significance of the turban in Sikhism. We desire to produce conditions conducive to the further study, research and practice of Sikhism by our fellow Sikh students and all others interested in any aspect of the Sikh religion."
203,A social club maintained by students for students from South East Asia. The club hosts different meetings and outings around Waterloo and beyond in attempt to help Signaporean & Malaysian students adjust living and going to school in Waterloo.
204,"We write. We perform. We direct. We produce. We showcase sketch comedy. If you like comedy in anyway, come out, you'll have fun and learn a lot!"
205,"UW SCC is an equal opportunity employer, we do not discriminate based on race, gender, sexuality, religion, creed, shoe size, favourite color, oral hygiene, body hygiene, pubic hygiene, skin ashiness, wipe direction, left-handedness, morning owls, night birds, leafs fans nor habs fans."
206,We play super smash brother melee for the Nintendo GameCube.
207,"The Socialist Fightback Club serves as a base for socialist politics on the UW campus. Education on questions of theory, history, economy, philosophy, on contemporary issues and movements are regular discussed and debated in the club, often through our publications, discussion groups and public events. In the past year, for example, we have held discussions on the topic of the economic crisis, the Sanders movement, the Quebec student movement and on the basic tenets of socialist theory."
208,"Our primary purpose is to facilitate networking within the Arab community and providing support for first year students (Undergraduate and Graduate students, local and international). We demonstrate and promote the Arab culture to Arabs and non-Arabs. SAS welcomes all the different cultures and ethnicities who are interested in learning about and/or mixing with the Arab culture."
209,Encourage and assist black undergraduate and graduate students who wish to pursue medicine in order to increase the number of black students who apply to medical school and thereby increasing the overall number of black physicians.
210,"Our goal is to reduce food waste, enhance University of Waterloo’s relationship with the community, and to connect students to the community of Waterloo. We also aim to inform students of the food demand in Kitchener-Waterloo by writing term reports on our progress and statistics.
	 "
211,"Spicy Meme Club is an interactive community for all meme lovers. Together, we will create memes, and provide a platform for all members to display their funniest memes. You don't need to be a meme lord to join, just come out and have a laugh!
	 "
212,"SPIE is an international society advancing an interdisciplinary approach to the science and application of light. Our goal as a student chapter is to bring awareness, opportunities and establish an interdisciplinary community at the University of Waterloo that relates to the application of light in a diverse array of fields. We will be hosting lectures from distinguished researchers and industry professionals, professional development sessions, laboratory tours, cool experiments, and social networking events. We welcome students from all departments to engage and explore light in all its forms and applications."
213,"Welcome to the Sri Lankan Student Alliance of Waterloo! The objective of this club is to unite the diverse cultures within Sri Lanka, and promote friendly interactions among our members. We try to bring our Sri Lankan culture and tradition to campus through various social events (cultural caravans, potlucks, formals, traditional dance classes and many more). Our club is open to everyone -join us if you’re interested in Sri Lankan culture, meeting new people and for fun events!"
214,"STEM Fellowship is a youth-run Canadian non-profit organization that uses mentorship and experiential learning to equip the next generation of changemakers in STEM (science, technology, engineering, math) with indispensable skills in data science and scholarly writing."
215,"STEM Fellowship began its activity in February 2015, soon expanding to high schools and universities across Canada. We have now developed into a brand that is well known in many student and professional networks and in the Big Data education and Scholarly Communication ecosystems."
216,"UW Students for Life (UWSFL) is a Pro-life club whose aim is to support women in crisis pregnancies through volunteer work and tangible resources, advocate for the rights of all human beings from fertilization to natural death, form club members to speak about these topics with confidence, and educate the student population about life issues. If you are interested in getting involved, please send us an email at uwstudentsforlife@gmail.com."
217,"Students for Palestinian Rights (SFPR) is a non-profit human rights organization, created to educate UW students and the larger community about the ongoing Palestinian-Israeli conflict, and the effects of the illegal occupation of Palestinian territories on the lives of ordinary Palestinians. SFPR does not officially endorse any Israeli or Palestinian political party, nor does it select between a one-state or two-state solution."
218,Students for United Way (SUW) connects UW students to the KW community through volunteering initiatives. Our mission is to improve the quality of life for all residents with the collaboration of community partners and resources. We work closely with the United Way of KW and represent the University of Waterloo with pride. SUW offers flexible volunteering opportunities and establishes easier connections provided by our club. We enable UW students to contribute to the development of the KW community and allow students to give back to the community in any capacity that they can.
219,"Waterloo SOS is a national charitable organization that is currently present in almost all Canadian Universities. Our aim is to support third world countries through student volunteer trips where we send UW students to local communities to help build libraries, schools, etc. To raise funding for these trips, we host exam aid sessions taught by Upper Year students who have successfully completed the course. For each student we tutor, we ask for a generous donation of $20 to support our charitable initiatives. In return, we offer them a 2 hour EXAM-AID tutorial, along with a comprehensive study guide and practice problems to help them succeed on their exam!"
220,"For more information, visit our website at www.waterloosos.com or like us on our Students Offering Support Facebook page."
221,"Swaggerloo is dedicated to providing University of Waterloo students an easy, affordable, and streamlined service to purchasing merchandise. We are part of Feds and 100% student-run! Swaggerloo aims to earn a small margin from all sales to donate to a charitable organization when a certain denomination is available."
222,SWAM is a not-for profit student initiative founded in 2009. Our mission is to provide the organizational and logistical support necessary to facilitate the opening and operation of SWAM programs across the country. SWAM chapters provide affordable and accessible one-on-one swimming instruction to children with specific needs.
223,"Just a place to drink tea, play games and have fun! Usually we meet every week for 2-3 hours. Come on out and drink as much tea as you could possibly want. 
	Fees are $2/session or $10/term. 
	All sessions will be on Thursdays from 3-5 pm in SLC 2134. Feel free to come out any week you'd like but reading week :) "
224,"The Thaqalayn Muslim Association was founded in early 2012. The club was formed by a group Shia Ithna Asheri Muslim students in response to a lack of an official support network for the post-secondary Shia Muslim students in the Kitchener-Waterloo region. Although the headquarters of TMA Waterloo's activities is the University of Waterloo's main campus, the TMA aims to be accessible to all post-secondary students in the region. Thus, the TMA Waterloo’s purpose is to cater primarily, although not exclusively, to the needs of the Shia Ithna Asheri Muslim post-secondary students at the University of Waterloo, and the surrounding region, while simultaneously representing their collective voices and pursuing their ideals."
225,"The Living Card Game Club is a place to play learn, discuss and play living card games, such as Andriod:Netrunner, Arkham:Horror The Card game, and Ashes:Rise of the Phoenix Born. Games will be supplied, and all are welcomed."
226,Looking to develop speaking and leadership skills? Ace a job interview? Ignite your career?
227,"Toastmasters International (TI) is a world leader in communication and leadership development. UW Toastmasters is a TI chapter that is filled with inquisitive and enthusiastic members. We bond and learn together at weekly meetings (Thursdays 5:25 - 6:40pm), competitions, workshops, and social events."
228,How Does It Work?
229,"A Toastmasters meeting is a learn-by-doing workshop in which participants hone their speaking and leadership skills in a no-pressure atmosphere. There is no instructor in a Toastmasters meeting. Instead, members evaluate one another’s presentations. This feedback process is a key part of the program’s success."
230,"Meeting participants also give impromptu talks on assigned topics, conduct meetings and develop skills related to timekeeping, grammar and parliamentary procedure. Members go through a journey of personal and professional development by working through Pathways, an education program designed to develop competencies in communication and leadership."
231,Guests and visitors are welcome to come to as many meetings as they want before deciding whether to join as formal club members.
232,Feel free to contact us via email or Facebook at https://www.facebook.com/groups/uwtoastmasters/
233,"UWBA is an association whereby students from any background who have an interest in backpacking or traveling gather to gain more knowledge on what the world has to offer. As well, it is a place where students will have the opportunity to network with other students of similar interests and hopefully, backpack together one day. The association work toward building a community of global citizens and fostering long-term friendships. 
	Membership is free and welcomes all members of the University of Waterloo. 
	 "
